CONSIGNMENT_NO;DESPATCH_DATE;HAULIER;COLLECT_CITY;COLLECT_CC;DELIVER_CITY;DELIVER_CC;SERVICE;ACCOUNT_TYPE;GROSS_WEIGHT_KG;NET_CHARGE;CCY;DAYS_IN_TRANSIT;SLA_DAYS;CONSIGNMENT_STATUS
ORD-100957;Feb 12, 2026;Baltica Logistics A/S;Rotterdam;NL;Prague;CZ;Express;Wholesale;52.64;2507.24;SEK;3.0;2;Delayed
ORD-102619;Aug 03, 2026;HANSEATIC;Gothenburg;SE;London;GB;Standard;Retail;25.09;83.57;EUR;;4;Delayed
ORD-102678;13/01/2026;Vantage Freight;Milan;IT;Madrid;ES;Express;Retail;26.33;1713.2;SEK;3.0;2;Delayed
ORD-104935;Jan 20, 2026; Nordfrakt ;Gothenburg;SE;Vienna;AT;Standard;E-Commerce;15.38;56.12;EUR;4.0;4;Delivered
ORD-101063;2026-03-23;Baltica Logistics;Milan;IT;Malmo;SE;Standard;Retail;7.77;47.25;USD;2.0;4;Delivered
ORD-102819;Mar 24, 2026;nordfrakt;Milan;IT;Prague;CZ;Express;Wholesale;16.52;1111.11;SEK;2.0;2;Delivered
ORD-100952;Feb 02, 2026;Vantage Freight Ltd;Gothenburg;SE; Rome ;IT;Standard;Retail;23.01;65.57;EUR;4.0;4;Delivered
ORD-100159;2026-05-05;Kestrel Parcel;Hamburg;DE;Bergen;NO;Economy;Wholesale;30.39;62.64;USD;4.0;7;Delivered
ORD-102770;26/02/2026; Nordfrakt ;Rotterdam;NL;Brno;CZ;Express;Industrial;8.03;101.39;EUR;2.0;2;Delivered
ORD-100059;2026-03-10;Nordfrakt AB;Rotterdam;NL;Tampere;FI;Express;Industrial;76.12;;SEK;3.0;2;Delayed
ORD-104636;27/05/2026;Baltica Logistics A/S;Gothenburg;SE;Paris;FR;Standard;Retail;60.77;1354.54;SEK;;4;Cancelled
ORD-104786;Jan 05, 2026;HANSEATIC;Gothenburg;SE;Marseille;FR;Standard;Retail;56.2;82.42;EUR;4.0;4;Delivered
ORD-100023;22/07/2026;hanseatic line;Milan;IT;Helsinki;FI;Standard;Retail;32.32;891.74;SEK;6.0;4;Delayed
ORD-102625;2026-01-12 00:00:00;Nordfrakt;Gothenburg;SE;Stockholm;SE;Express;E-Commerce;37.33;132.3;EUR;1.0;2;Delivered
ORD-100683;09/08/2026;Baltica Logistics;Rotterdam;NL;Frankfurt;DE;Standard;Wholesale;21.67;71.09;EUR;2.0;4;Delivered
ORD-103603;2026-02-06;Baltica Logistics;Gothenburg;SE; Marseille ;FR;Express;Wholesale;14.65;116.57;EUR;2.0;2;Delivered
ORD-102140;2026-03-20;vantage freight;Gothenburg;SE;Rome;IT;Standard;Industrial;61.33;1386.99;SEK;;4;Cancelled
ORD-102056;2026-04-08 00:00:00;Nordfrakt AB;Hamburg;DE;Eindhoven;NL;Express;Wholesale;47.9;181.71;EUR;2.0;2;Delivered
ORD-100489;2026-01-27;KESTREL PARCEL;Hamburg;DE;Turin;IT;Economy;E-Commerce;47.65;77.17;USD;7.0;7;Delivered
ORD-102497;Jul 01, 2026;vantage freight;Milan;IT;Valencia;ES;Standard;Retail;19.46;88.1;EUR;4.0;4;Delivered
ORD-102283;May 07, 2026;Kestrel Parcel;Gothenburg;SE;Geneva;CH;Standard;Retail;38.67;95.36;USD;6.0;4;Delayed
ORD-100015;May 06, 2026;baltica;Hamburg;DE;Helsinki;FI;Standard;Industrial;55.65;126.85;EUR;4.0;4;Delivered
ORD-103932;2026-03-23;Kestrel Parcel;Gothenburg;SE;Prague;CZ;Standard;Industrial;43.75;100.1;EUR;3.0;4;Delivered
ORD-101388;Jul 03, 2026;KESTREL PARCEL;Gothenburg;SE;Zurich;CH;Express;Wholesale;3.2;85.78;EUR;2.0;2;Delivered
ORD-104514;2026-07-14 00:00:00;Meridian Express;Milan;IT;Madrid;ES;Standard;Industrial;10.36;65.65;EUR;5.0;4;Delayed
ORD-101588;17/06/2026;Nordfrakt;Gothenburg;SE;Frankfurt;DE;Standard;E-Commerce;8.31;46.27;EUR;3.0;4;Delivered
ORD-101751;2026-07-01;Meridian Express;Gothenburg;SE;Rome;IT;Standard;Wholesale;15.44;51.42;EUR;;4;Delivered
ORD-101304;2026-01-30; Meridian Express;Gothenburg;SE;Helsinki;FI;Standard;Industrial;21.69;98.93;EUR;4.0;4;Delivered
ORD-101231;2026-04-07 00:00:00;Baltica Logistics;Gothenburg;SE;Amsterdam;NL;Economy;Industrial;45.48;56.62;EUR;5.0;7;Delivered
ORD-100001;2026-04-29 00:00:00;Vantage;Gothenburg;SE;Aarhus;DK;Express;Retail;14.03;118.68;USD;1.0;2;Delivered
ORD-100285;2026-07-28; Nordfrakt ;Rotterdam;NL;Geneva;CH;Standard;Retail;48.92;108.06;EUR;4.0;4;Delivered
ORD-104828;2026-07-20 00:00:00;nordfrakt;Gothenburg;SE; Malmo ;SE;Express;Retail;24.08;129.53;USD;;2;Cancelled
ORD-102396;2026-08-03; Nordfrakt ;Milan;IT;Valencia;ES;Standard;E-Commerce;19.15;70.86;EUR;4.0;4;Delivered
ORD-100403;Aug 16, 2026;kestrel;Barcelona;ES;Copenhagen;DK;Standard;Wholesale;14.26;64.08;EUR;3.0;4;Delivered
ORD-102802;26/08/2026;Vantage Freight;Milan;IT;Aarhus;DK;Standard;Industrial;35.84;73.67;EUR;2.0;4;Delivered
ORD-104986;2026-08-13; Nordfrakt ;Rotterdam;NL;Gothenburg;SE;Standard;Retail;6.31;360.69;SEK;2.0;4;Delivered
ORD-102023;2026-01-26;Kestrel Parcel;Rotterdam;NL;Turin;IT;Standard;E-Commerce;2.96;40.0;EUR;3.0;4;DELIVERED
ORD-103428;04/05/2026; Nordfrakt ;Hamburg;DE;Graz;AT;Standard;Industrial;31.37;1085.79;SEK;4.0;4;Delivered
ORD-101200;Jun 26, 2026;Vantage;Barcelona;ES;Copenhagen;DK;Standard;Industrial;56.24;125.19;EUR;3.0;4;In Transit
ORD-104338;2026-04-13 00:00:00;Vantage Freight;Gothenburg;SE;Cologne;DE;Standard;Wholesale;53.82;104.96;EUR;3.0;4;In Transit
ORD-101577;May 13, 2026;Kestrel Parcel;Barcelona;ES; Tampere ;FI;Standard;E-Commerce;43.79;104.9;EUR;5.0;4;Delayed
ORD-102241;2026-03-02;hanseatic line;Milan;IT;Munich;DE;Economy;Industrial;44.7;91.1;USD;6.0;7;Delivered
ORD-101497;May 04, 2026;Nordfrakt AB;Gothenburg;SE;Tampere;FI;Economy;Retail;29.65;55.0;EUR;6.0;7;Delivered
ORD-102493;Jan 30, 2026;vantage freight;Gothenburg;SE;Gothenburg;SE;Express;E-Commerce;40.69;182.25;EUR;1.0;2;Delivered
ORD-102303;Jun 26, 2026;MERIDIAN EXPRESS;Hamburg;DE;Zurich;CH;Economy;E-Commerce;5.11;33.93;USD;5.0;7;Delivered
ORD-102499;2026-07-24;kestrel;Hamburg;DE;Warsaw;PL;Standard;Wholesale;55.94;110.14;EUR;4.0;4;Delivered
ORD-101612;03/03/2026; Meridian Express;Rotterdam;NL;Paris;FR;Standard;Industrial;57.07;142.68;EUR;3.0;4;Delivered
ORD-102018;31/03/2026;hanseatic line;Milan;IT;Paris;FR;Express;Wholesale;8.03;85.51;EUR;2.0;2;Delivered
ORD-103945;07/04/2026;nordfrakt;Hamburg;DE;Valencia;ES;Economy;Industrial;29.99;641.74;SEK;7.0;7;Delivered
ORD-104731;2026-03-12 00:00:00;Baltica Logistics;Gothenburg;SE;Vienna;AT;Standard;E-Commerce;8.65;56.62;EUR;4.0;4;Delivered
ORD-104185;2026-01-09; Meridian Express;Gothenburg;SE;Rome;IT;Standard;Industrial;11.27;65.66;EUR;3.0;4;Delivered
ORD-104908;May 13, 2026;baltica;Rotterdam;NL;Bergen;NO;Express;Retail;8.34;934.43;SEK;2.0;2;Delivered
ORD-100948;03/08/2026;hanseatic line;Gothenburg;SE;Munich;DE;Express;Industrial;24.85;122.97;EUR;4.0;2;Delayed
ORD-100510;Aug 29, 2026;Nordfrakt;Gothenburg;SE;Stockholm;SE;Standard;Wholesale;29.6;69.29;EUR;2.0;4;Delivered
ORD-101393;Apr 13, 2026; Meridian Express;Rotterdam;NL;Vienna;AT;Express;Industrial;54.66;285.01;USD;2.0;2;Delivered
ORD-101508;2026-06-17 00:00:00;Vantage Freight;Gothenburg;SE;Warsaw;PL;Standard;Wholesale;6.07;55.86;EUR;3.0;4;Delivered
ORD-104518;26/03/2026;Meridian Express;Gothenburg;SE;Aarhus;DK;Express;Retail;25.88;116.79;USD;;2;Cancelled
ORD-101331;30/03/2026;Meridian Expr;Gothenburg;SE;Turin;IT;Standard;E-Commerce;33.63;73.65;EUR;4.0;4;Delivered
ORD-101309;2026-06-12 00:00:00;nordfrakt;Gothenburg;SE;Berlin;DE;Standard;Retail;12.64;61.01;EUR;4.0;4;Delivered
ORD-104694;Mar 24, 2026;Kestrel Parcels AB;Hamburg;DE;Eindhoven;NL;Standard;Retail;3.33;503.86;SEK;3.0;4;Delivered
ORD-102973;2026-08-21 00:00:00;hanseatic line;Hamburg;DE;Warsaw;PL;Standard;Industrial;40.56;90.63;EUR;6.0;4;Delayed
ORD-103800;2026-07-20;MERIDIAN EXPRESS;Rotterdam;NL;Zurich;CH;Economy;Retail;33.1;54.22;EUR;5.0;7;Delivered
ORD-103962;Feb 24, 2026; Nordfrakt ;Gothenburg;SE;Gothenburg;SE;Express;Retail;10.35;78.49;EUR;1.0;2;Delivered
ORD-102669;2026-08-12 00:00:00; Meridian Express;Gothenburg;SE;Gdansk;PL;Standard;E-Commerce;15.46;60.86;EUR;4.0;4;Delivered
ORD-103748;Jul 20, 2026;Meridian Expr;Hamburg;DE;Copenhagen;DK;Economy;Industrial;25.69;523.27;SEK;3.0;7;Delivered
ORD-101117;Jan 16, 2026;MERIDIAN EXPRESS;Barcelona;ES;Rome;IT;Standard;E-Commerce;14.52;71.72;USD;3.0;4;Delivered
ORD-104500;2026-03-16;hanseatic line;Gothenburg;SE;Brno;CZ;Economy;Wholesale;34.67;58.22;EUR;7.0;7;Delivered
ORD-100696;01/04/2026;nordfrakt;Gothenburg;SE;Rome;IT;Economy;E-Commerce;8.47;537.56;SEK;5.0;7;Delivered
ORD-103169;Jan 27, 2026; Nordfrakt ;Gothenburg;SE;Warsaw;PL;Standard;Industrial;11.16;57.08;EUR;5.0;4;Delayed
ORD-104056;2026-06-08 00:00:00;Meridian Expr;Barcelona;ES;Rome;IT;Standard;Retail;26.78;98.94;USD;5.0;4;Delayed
ORD-104101;2026-08-25 00:00:00;vantage freight;Hamburg;DE;Turin;IT;Standard;E-Commerce;11.9;61.82;USD;5.0;4;Delayed
ORD-102045;Aug 27, 2026;Hanseatic Line;Hamburg;DE;Turin;IT;Express;E-Commerce;17.58;123.87;USD;3.0;2;DELAYED
ORD-100282;2026-03-04;baltica;Rotterdam;NL;Turin;IT;Economy;Retail;9.23;51.23;USD;8.0;7;Delayed
ORD-101811;23/02/2026; Nordfrakt ;Rotterdam;NL;Paris;FR;Economy;Retail;17.29;45.24;USD;4.0;7;Delivered
ORD-100599;Feb 16, 2026; Nordfrakt ;Barcelona;ES;Amsterdam;NL;Express;Industrial;2.83;62.15;EUR;1.0;2;Delivered
ORD-102918;2026-06-10; Nordfrakt ;Hamburg;DE;Cologne;DE;Economy;Retail;28.36;44.68;EUR;4.0;7;Delivered
ORD-104064;20/04/2026;Baltica Logistics A/S;Hamburg;DE;Amsterdam;NL;Standard;Wholesale;4.15;36.38;EUR;3.0;4;In Transit
ORD-101346;15/06/2026;nordfrakt;Rotterdam;NL;Geneva;CH;Standard;Retail;39.27;82.8;EUR;4.0;4;Delivered
ORD-101411;Jan 05, 2026;Vantage;Hamburg;DE;Graz;AT;Standard;Wholesale;13.36;72.88;EUR;4.0;4;Delivered
ORD-101546;13/03/2026;Baltica Logistics A/S;Gothenburg;SE;Eindhoven;NL;Express;E-Commerce;5.63;65.85;EUR;2.0;2;Delivered
ORD-100085;2026-03-20 00:00:00;MERIDIAN EXPRESS;Gothenburg;SE;Madrid;ES;Economy;Retail;38.92;;EUR;5.0;7;Delivered
ORD-103703;2026-07-13;Kestrel Parcel;Barcelona;ES;Munich;DE;Economy;Wholesale;43.05;59.77;EUR;6.0;7;Delivered
ORD-101972;2026-03-10 00:00:00;Vantage Freight;Hamburg;DE;Madrid;ES;Standard;E-Commerce;39.49;107.12;EUR;5.0;4;Delayed
ORD-102546;11/05/2026;Baltica Log.;Gothenburg;SE;Amsterdam;NL;Economy;E-Commerce;13.89;35.35;EUR;3.0;7;Delivered
ORD-100714;2026-07-19;Nordfrakt;Gothenburg;SE;Geneva;CH;Standard;Wholesale;7.92;51.76;USD;3.0;4;Delivered
ORD-102286;Jul 13, 2026;Baltica Logistics A/S;Gothenburg;SE;Berlin;DE;Economy;Retail;61.19;65.39;EUR;6.0;7;Delivered
ORD-102207;Jun 04, 2026;Nordfrakt;Milan;IT;Gothenburg;SE;Economy;Industrial;44.08;57.12;USD;3.0;7;Delivered
ORD-104997;May 25, 2026;kestrel;Rotterdam;NL; Turin ;IT;Economy;Retail;16.94;43.99;EUR;7.0;7;Delivered
ORD-104428;Apr 28, 2026; Nordfrakt ;Gothenburg;SE;Warsaw;PL;Standard;Wholesale;64.94;130.39;EUR;3.0;4;Delivered
ORD-104822;13/07/2026;Nordfrakt AB;Gothenburg;SE;Amsterdam;NL;Standard;Retail;18.61;751.09;SEK;2.0;4;Delivered
ORD-102042;14/04/2026;vantage freight;Gothenburg;SE;Graz;AT;Economy;Retail;21.02;45.42;EUR;5.0;7;Delivered
ORD-100980;2026-01-18;Meridian Expr;Rotterdam;NL; Graz ;AT;Standard;Industrial;7.78;47.11;USD;2.0;4;Delivered
ORD-101407;23/06/2026;Kestrel Parcel;Hamburg;DE;Munich;DE;Express;Wholesale;44.24;166.56;EUR;1.0;2;Delivered
ORD-100581;2026-06-01; Meridian Express;Rotterdam;NL;Tampere;FI;Standard;Industrial;14.76;77.54;USD;3.0;4;Delivered
ORD-103961;Jun 15, 2026;kestrel;Milan;IT;Zurich;CH;Standard;E-Commerce;5.31;617.89;SEK;5.0;4;Delayed
ORD-101616;May 11, 2026;nordfrakt;Gothenburg;SE;Graz;AT;Standard;Industrial;35.84;87.55;EUR;2.0;4;Delivered
ORD-104434;Jan 15, 2026;MERIDIAN EXPRESS;Hamburg;DE;Graz;AT;Economy;Wholesale;21.01;32.97;USD;5.0;7;Delivered
ORD-102876;Mar 02, 2026;MERIDIAN EXPRESS;Rotterdam;NL; Copenhagen ;DK;Standard;Retail;2.91;481.21;SEK;2.0;4;Delivered
ORD-104232;27/01/2026;Vantage Freight Ltd;Gothenburg;SE;Malmo;SE;Standard;E-Commerce;52.25;1229.5;EUR;2.0;4;Delivered
ORD-101824;29/04/2026;kestrel;Barcelona;ES;London;GB;Standard;Wholesale;43.01;104.74;EUR;3.0;4;Delivered
ORD-101981;2026-02-05 00:00:00;hanseatic line;Hamburg;DE;Krakow;PL;Standard;Industrial;6.49;59.28;EUR;4.0;4;Delivered
ORD-103575;2026-03-12;Kestrel Parcels AB;Milan;IT;Berlin;DE;Express;Retail;44.45;202.73;EUR;2.0;2;DELIVERED
ORD-104753;2026-06-22;nordfrakt;Gothenburg;SE;Gothenburg;SE;Standard;Wholesale;14.81;43.46;USD;2.0;4;Delivered
ORD-100675;2026-04-03;nordfrakt;Barcelona;ES;Lyon;FR;Express;Industrial;9.09;79.34;EUR;2.0;2;Delivered
ORD-100925;2026-08-03;Vantage;Gothenburg;SE;Amsterdam;NL;Express;Wholesale;33.77;170.89;USD;2.0;2;Delivered
ORD-102941;Jul 28, 2026;vantage freight;Hamburg;DE;Copenhagen;DK;Express;Industrial;11.73;86.52;USD;1.0;2;Delivered
ORD-100671;02/02/2026;Baltica Logistics;Milan;IT;Warsaw;PL;Economy;Wholesale;23.67;55.52;EUR;7.0;7;Delivered
ORD-101199;2026-02-04;Hanseatic Lines;Rotterdam;NL;Gothenburg;SE;Standard;Retail;30.86;66.33;EUR;3.0;4;Delivered
ORD-102229;2026-08-21;HANSEATIC;Gothenburg;SE;Turin;IT;Standard;Wholesale;25.49;74.47;EUR;7.0;4;Delayed
ORD-102690;Apr 06, 2026; Meridian Express;Rotterdam;NL;Berlin;DE;Standard;Industrial;45.8;86.28;EUR;2.0;4;Delivered
ORD-102579;2026-01-06 00:00:00; Nordfrakt ;Gothenburg;SE;Graz;AT;Standard;E-Commerce;31.59;89.04;EUR;4.0;4;Delivered
ORD-103479;2026-05-04;Meridian Expr;Milan;IT;Cologne;DE;Standard;Retail;7.39;46.99;EUR;2.0;4;Delivered
ORD-103545;2026-02-10;Baltica Logistics A/S;Hamburg;DE;Eindhoven;NL;Standard;Retail;28.3;90.27;USD;3.0;4;Delivered
ORD-104543;Feb 02, 2026;kestrel;Gothenburg;SE;Cologne;DE;Standard;Industrial;9.21;57.87;EUR;5.0;4;Delayed
ORD-104437;03/08/2026;Nordfrakt;Barcelona;ES;Vienna;AT;Standard;Industrial;11.33;64.89;USD;;4;Delivered
ORD-100692;2026-07-25;baltica;Hamburg;DE;Marseille;FR;Economy;Industrial;46.11;77.2;EUR;4.0;7;Delivered
ORD-102982;May 14, 2026; Meridian Express;Rotterdam;NL;Munich;DE;Express;E-Commerce;27.7;125.57;EUR;2.0;2;Delivered
ORD-103838;2026-08-09 00:00:00;Baltica Logistics;Hamburg;DE;Frankfurt;DE;Standard;E-Commerce;68.45;16878.800000000003;SEK;3.0;4;Delivered
ORD-103325;2026-05-04 00:00:00;Vantage Freight Ltd;Hamburg;DE;Copenhagen;DK;Standard;E-Commerce;16.32;48.46;EUR;3.0;4;Delivered
ORD-100152;2026-07-17 00:00:00;Meridian Expr;Rotterdam;NL;Krakow;PL;Standard;Retail;78.84;161.76;EUR;4.0;4;Delivered
ORD-103889;May 27, 2026; Meridian Express;Barcelona;ES;Brno;CZ;Standard;Retail;60.14;1591.06;SEK;4.0;4;DELIVERED
ORD-104614;2026-01-02;KESTREL PARCEL;Barcelona;ES;Munich;DE;Economy;Retail;20.79;43.45;EUR;6.0;7;Delivered
ORD-102008;May 07, 2026; Nordfrakt ;Gothenburg;SE;Tampere;FI;Standard;Retail;9.57;65.78;EUR;4.0;4;Delivered
ORD-100478;2026-03-02;nordfrakt;Gothenburg;SE;Prague;CZ;Economy;E-Commerce;25.38;48.94;EUR;6.0;7;Delivered
ORD-101666;17/04/2026;Kestrel Parcel;Gothenburg;SE;Rome;IT;Standard;Retail;16.61;59.05;EUR;4.0;4;Delivered
ORD-103198;2026-08-20;Nordfrakt;Milan;IT; Oslo ;NO;Express;Retail;19.95;123.22;EUR;2.0;2;Delivered
ORD-103312;24/07/2026;hanseatic line;Milan;IT;Eindhoven;NL;Express;Retail;67.53;236.13;EUR;2.0;2;Delivered
ORD-103056;May 15, 2026;Kestrel Parcels AB;Hamburg;DE; Tampere ;FI;Standard;E-Commerce;18.58;55.6;USD;5.0;4;Delayed
ORD-102375;2026-08-26 00:00:00;Baltica Logistics;Milan;IT;Oslo;NO;Express;Wholesale;75.6;262.95;EUR;2.0;2;Delivered
ORD-104532;Mar 23, 2026;baltica;Rotterdam;NL;Malmo;SE;Standard;Retail;11.99;60.14;EUR;2.0;4;Delivered
ORD-100080;30/07/2026;Kestrel Parcel;Hamburg;DE;Lyon;FR;Economy;Wholesale;3.92;30.16;EUR;7.0;7;Delivered
ORD-101896;2026-01-10 00:00:00;Kestrel Parcels AB;Hamburg;DE;London;GB;Economy;E-Commerce;23.09;45.8;EUR;8.0;7;Delayed
ORD-102235;2026-05-11 00:00:00;Vantage Freight Ltd;Milan;IT;Helsinki;FI;Express;Wholesale;4.78;82.63;EUR;2.0;2;Delivered
ORD-100246;20/04/2026;Kestrel Parcels AB;Rotterdam;NL;Stockholm;SE;Standard;Wholesale;24.08;67.11;EUR;2.0;4;Delivered
ORD-104940;2026-04-06 00:00:00;Vantage Freight;Gothenburg;SE;Bergen;NO;Standard;Wholesale;38.06;108.54;EUR;4.0;4;Delivered
ORD-103374;2026-03-05 00:00:00;Kestrel Parcel;Hamburg;DE;Berlin;DE;Express;Wholesale;10.89;1226.89;SEK;;2;Delivered
ORD-104122;Aug 24, 2026;Hanseatic Line;Gothenburg;SE;Zurich;CH;Express;Retail;34.74;161.99;EUR;4.0;2;Delayed
ORD-102331;16/06/2026;Baltica Log.;Gothenburg;SE;Bergen;NO;Standard;Retail;78.48;1692.31;SEK;3.0;4;Delivered
ORD-101345;Aug 31, 2026;MERIDIAN EXPRESS;Gothenburg;SE;Amsterdam;NL;Economy;Wholesale;19.09;62.91;EUR;3.0;7;Delivered
ORD-100591;Jul 09, 2026;Nordfrakt;Gothenburg;SE;Zurich;CH;Standard;Industrial;13.92;69.36;USD;4.0;4;Delivered
ORD-100122;23/02/2026;Vantage Freight Ltd;Barcelona;ES;Manchester;GB;Standard;E-Commerce;15.37;67.33;EUR;3.0;4;Delivered
ORD-103120;06/02/2026;vantage freight;Gothenburg;SE;Malmo;SE;Express;E-Commerce;91.51;231.59;EUR;1.0;2;Delivered
ORD-101534;2026-05-25 00:00:00;nordfrakt;Milan;IT;Zurich;CH;Standard;E-Commerce;43.74;102.59;EUR;4.0;4;Delivered
ORD-102100;15/07/2026;nordfrakt;Gothenburg;SE;Marseille;FR;Standard;Wholesale;12.08;731.77;SEK;;4;Delivered
ORD-104523;Aug 24, 2026;Meridian Expr;Rotterdam;NL;Paris;FR;Standard;Industrial;9.31;49.79;EUR;2.0;4;Delivered
ORD-102694;2026-07-27;nordfrakt;Hamburg;DE;Munich;DE;Standard;Wholesale;55.43;109.45;EUR;2.0;4;DELIVERED
ORD-100756;09/04/2026;Hanseatic Lines;Hamburg;DE;Gothenburg;SE;Standard;E-Commerce;12.19;61.84;EUR;3.0;4;Delivered
ORD-103749;2026-07-11;Meridian Express;Gothenburg;SE;Warsaw;PL;Economy;Industrial;17.43;38.83;EUR;7.0;7;Delivered
ORD-103156;28/04/2026;hanseatic line;Rotterdam;NL;Berlin;DE;Express;Wholesale;22.82;161.67;USD;3.0;2;Delayed
ORD-102960;2026-07-20 00:00:00;Vantage Freight Ltd;Gothenburg;SE;Bergen;NO;Express;Retail;30.6;135.27;EUR;1.0;2;Delivered
ORD-100061;2026-04-13 00:00:00;vantage freight;Hamburg;DE;Brno;CZ;Economy;Wholesale;28.28;814.41;SEK;5.0;7;Delivered
ORD-103454;May 25, 2026;MERIDIAN EXPRESS;Milan;IT;London;GB;Standard;Wholesale;11.97;646.68;SEK;3.0;4;Delivered
ORD-100865;19/03/2026;Meridian Express;Gothenburg;SE;Amsterdam;NL;Standard;Wholesale;38.66;96.47;EUR;2.0;4;Delivered
ORD-104752;2026-05-18 00:00:00;baltica;Barcelona;ES;Bergen;NO;Economy;Industrial;33.92;58.5;EUR;5.0;7;Delivered
ORD-103614;2026-04-17;KESTREL PARCEL;Rotterdam;NL;Aarhus;DK;Standard;Industrial;14.99;42.25;USD;2.0;4;Delivered
ORD-100741;2026-04-23 00:00:00;Kestrel Parcels AB;Rotterdam;NL;Geneva;CH;Economy;Wholesale;22.99;678.05;SEK;5.0;7;Delivered
ORD-101605;Jul 02, 2026;Vantage Freight;Gothenburg;SE;Geneva;CH;Standard;E-Commerce;52.73;89.35;EUR;5.0;4;Delayed
ORD-102180;2026-03-20;Meridian Express;Milan;IT;Copenhagen;DK;Economy;Industrial;22.68;48.72;USD;3.0;7;Delivered
ORD-104834;2026-08-19 00:00:00;Nordfrakt AB;Gothenburg;SE;Gothenburg;SE;Standard;Retail;13.77;53.01;EUR;2.0;4;Delivered
ORD-104131;2026-07-24;Nordfrakt;Milan;IT;Aarhus;DK;Express;Industrial;70.06;3022.95;SEK;2.0;2;Delivered
ORD-103029;06/07/2026;Nordfrakt AB;Gothenburg;SE;Frankfurt;DE;Economy;Industrial;21.96;40.64;EUR;3.0;7;Delivered
ORD-103281;2026-04-20;Meridian Expr;Rotterdam;NL;Paris;FR;Economy;Wholesale;24.38;52.44;USD;5.0;7;Delivered
ORD-102438;2026-06-08;nordfrakt;Milan;IT;Malmo;SE;Economy;Retail;35.68;580.36;SEK;;7;Delivered
ORD-101149;2026-06-11;nordfrakt;Barcelona;ES;Stockholm;SE;Express;E-Commerce;18.79;86.71;EUR;1.0;2;Delivered
ORD-101160;15/01/2026;Vantage;Gothenburg;SE;Helsinki;FI;Standard;Wholesale;13.38;67.62;USD;4.0;4;Delivered
ORD-103904;2026-06-23;Baltica Logistics A/S;Gothenburg;SE;Oslo;NO;Standard;E-Commerce;36.39;89.27;EUR;3.0;4;Delivered
ORD-100256;Mar 09, 2026;Kestrel Parcels AB;Barcelona;ES;Krakow;PL;Express;Wholesale;2.14;88.65;EUR;3.0;2;Delayed
ORD-102598;2026-08-14;Nordfrakt AB;Gothenburg;SE;Berlin;DE;Economy;E-Commerce;34.84;69.76;EUR;5.0;7;Delivered
ORD-102946;2026-01-19; Meridian Express;Rotterdam;NL;Rome;IT;Express;E-Commerce;22.3;137.05;EUR;2.0;2;Delivered
ORD-102337;2026-05-25;Vantage Freight Ltd;Hamburg;DE;Krakow;PL;Economy;Wholesale;36.6;616.25;SEK;6.0;7;Delivered
ORD-104495;2026-02-08 00:00:00; Nordfrakt ;Gothenburg;SE;Aarhus;DK;Standard;E-Commerce;32.83;88.62;EUR;2.0;4;DELIVERED
ORD-102101;02/03/2026;Baltica Log.;Rotterdam;NL;Bergen;NO;Standard;Retail;44.54;82.97;EUR;3.0;4;Delivered
ORD-104169;06/03/2026;Nordfrakt;Gothenburg;SE;Malmo;SE;Standard;E-Commerce;26.45;58.43;EUR;2.0;4;Delivered
ORD-103407;16/02/2026; Nordfrakt ;Gothenburg;SE;Gothenburg;SE;Standard;Industrial;52.38;79.91;EUR;1.0;4;Delivered
ORD-100557;2026-06-24;Vantage;Rotterdam;NL;Prague;CZ;Economy;Wholesale;34.07;63.62;EUR;3.0;7;Delivered
ORD-103220;2026-03-20;baltica;Hamburg;DE;Prague;CZ;Standard;Retail;8.93;59.07;EUR;3.0;4;Delivered
ORD-104214;Mar 12, 2026;hanseatic line;Barcelona;ES;Manchester;GB;Express;Industrial;74.27;227.59;USD;3.0;2;Delayed
ORD-100608;13/08/2026; Nordfrakt ;Gothenburg;SE;Cologne;DE;Express;Industrial;40.4;156.7;EUR;2.0;2;Delivered
ORD-102096;29/07/2026;Nordfrakt;Gothenburg;SE;Oslo;NO;Standard;E-Commerce;28.65;72.45;EUR;3.0;4;Delivered
ORD-100209;May 04, 2026; Nordfrakt ;Hamburg;DE;Stockholm;SE;Express;E-Commerce;34.85;169.34;USD;1.0;2;Delivered
ORD-103539;2026-05-29 00:00:00;Vantage;Barcelona;ES;Warsaw;PL;Standard;E-Commerce;43.82;110.44;EUR;4.0;4;Delivered
ORD-101590;09/04/2026;Vantage;Milan;IT;Rome;IT;Standard;Retail;17.88;74.19;EUR;4.0;4;Delivered
ORD-101147;27/04/2026;Nordfrakt;Gothenburg;SE;Paris;FR;Standard;Retail;4.81;49.42;EUR;3.0;4;Delivered
ORD-103427;Jun 29, 2026;kestrel;Gothenburg;SE;Manchester;GB;Express;E-Commerce;50.34;192.25;EUR;2.0;2;Delivered
ORD-103206;31/08/2026;Nordfrakt AB;Gothenburg;SE;Zurich;CH;Express;Wholesale;84.45;257.39;EUR;2.0;2;Delivered
ORD-101633;2026-06-27 00:00:00;Nordfrakt AB;Hamburg;DE;Gdansk;PL;Express;E-Commerce;11.15;116.18;EUR;2.0;2;Delivered
ORD-100597;May 04, 2026;MERIDIAN EXPRESS;Gothenburg;SE; Aarhus ;DK;Standard;Wholesale;21.17;43.11;EUR;3.0;4;Delivered
